resort,lat,lon,altitude,north_south,east_west,1985-01,1985-02,1985-03,1985-12,2015-01,2015-02,2015-03,2015-12
mt-lemmon-ski-valley,32.447617,-110.781016,1018.055542,south,rockies,250.99778341337532,209.52502196298323,,178.46720111954514,,,,229.8668872967756
cloudcroft,32.95151681,-105.7088354,1408.086548,south,rockies,167.14253716889573,186.53656746998752,135.52359557748997,181.6857444196142,133.04950402592775,192.3820680091351,175.8030687909096,131.91644831802034
apache,33.39701396,-105.7882604,1542.59668,south,rockies,194.0349990193767,204.94564043002813,175.43817133880356,190.73731874440853,160.6013492719835,230.15128641647533,242.13313595977613,152.5707732242935
sunrise-park,33.972949,-109.563519,2299.240967,south,rockies,297.0304004720213,301.6868978513561,355.7844194239174,235.04813438561544,202.78551897955734,198.8597034417971,205.50003695147404,179.74930558485954
snow-valley,34.22391822,-117.035342,957.984375,south,west,382.4653531618897,346.2379654470775,166.97239220050426,300.697071288247,,,201.41985883077683,239.9172014870618
bear-mountain-big-bear-lake,34.22737,-116.861682,1001.180664,south,rockies,368.09907035372515,324.08831215823744,146.9439810105432,225.44743973997157,118.98173461112745,151.4029959128207,157.17007216482955,206.94189518167383
snow-summit-big-bear-lake,34.235461,-116.888834,994.8352051,south,rockies,382.5426088640531,362.18480939819364,152.94947885289326,231.83599034036547,118.26451396629732,150.81544017161892,165.8870357454397,211.87082826141744
mt-baldy,34.270105,-117.621892,628.8867798,south,west,357.6644681758724,379.5018053304465,173.34739440664828,272.28714783054323,,,228.41640818062322,212.98825401247046
buckhorn-ski-and-snowboard-club,34.34078332,-117.9188493,496.7745972,south,west,300.4784594191205,272.93533355676055,,270.19703071047724,,,198.64951427549695,207.7055674029948
mt-waterman,34.349276,-117.928781,495.5697937,south,west,316.05475268677964,269.7352744855019,,257.82210320519687,,,183.16616050048762,222.0319140716157
mountain-high-east,34.371956,-117.676581,627.1488037,south,west,344.49845659081103,431.7399157145642,190.17954514998277,241.61163342094366,,,194.7555679444905,189.700356041255
mountain-high-west,34.376469,-117.691185,621.4129639,south,west,360.3998497468218,409.29567248684674,190.67498016426734,251.71902583143387,,,191.7534762799741,197.15357882944036
mountain-high-north,34.387039,-117.68486,627.4362793,south,west,323.37173212647326,418.4422028004375,190.73474938975437,248.63816672269272,,,194.09618885197926,177.50477964691396
cloudmont,34.5349686,-85.60114301,307.4978638,south,midwest,,108.5092287297883,,,,149.9092117056487,,
