resort,lat,lon,altitude,north_south,east_west
mt-lemmon-ski-valley,32.447617,-110.781016,1018.055542,south,rockies
cloudcroft,32.95151681,-105.7088354,1408.086548,south,rockies
apache,33.39701396,-105.7882604,1542.59668,south,rockies
sunrise-park,33.972949,-109.563519,2299.240967,south,rockies
snow-valley,34.22391822,-117.035342,957.984375,south,west
bear-mountain-big-bear-lake,34.22737,-116.861682,1001.180664,south,rockies
snow-summit-big-bear-lake,34.235461,-116.888834,994.8352051,south,rockies
mt-baldy,34.270105,-117.621892,628.8867798,south,west
buckhorn-ski-and-snowboard-club,34.34078332,-117.9188493,496.7745972,south,west
mt-waterman,34.349276,-117.928781,495.5697937,south,west
mountain-high-east,34.371956,-117.676581,627.1488037,south,west
mountain-high-west,34.376469,-117.691185,621.4129639,south,west
mountain-high-north,34.387039,-117.68486,627.4362793,south,west
cloudmont,34.5349686,-85.60114301,307.4978638,south,midwest
sapphire-valley,35.123682,-83.058921,513.5418091,south,midwest
sandia-peak,35.206833,-106.413993,1828.135254,south,rockies
elk-ridge-williams,35.215139,-112.191636,1820.824585,south,rockies
arizona-snowbowl,35.330042,-111.710106,1813.600342,south,rockies
cataloochee,35.562164,-83.089578,479.6710205,south,midwest
ober-gatlinburg,35.703397,-83.559314,449.7590942,south,midwest
alta-sierra-shirley-meadows,35.71063313,-118.5582506,846.019043,south,west
santa-fe,35.795667,-105.801717,1868.295532,south,rockies
pajarito-mountain,35.893632,-106.388338,1937.656006,south,rockies
wolf-ridge,35.954261,-82.508698,755.4248657,south,midwest
sugar-mountain,36.130154,-81.859834,966.241272,south,midwest
sipapu,36.153625,-105.548553,2061.078369,south,rockies
appalachian-ski-mountain,36.17412688,-81.6629464,845.9049683,south,midwest
beech-mountain,36.193763,-81.877494,954.437439,south,midwest
las-vegas-ski-and-snowboard-resort-lee-canyon,36.303389,-115.679362,876.2477417,south,rockies
angel-fire,36.3865128,-105.2718772,2298.625,south,rockies
taos,36.594168,-105.449465,2368.36377,south,rockies
red-river,36.708769,-105.409793,2452.310547,south,rockies
china-peak,37.235275,-119.154877,1834.033569,south,west
chapman-hill-durango,37.28277401,-107.8688755,2245.975098,south,rockies
hesperus-ski-area,37.29993,-108.05529,2133.737793,south,rockies
cuchara-mountain-park,37.349008,-105.125411,2583.014893,south,rockies
wolf-creek,37.472653,-106.794555,2957.20752,south,rockies
winterplace,37.59867373,-81.12190152,622.3665161,south,midwest
purgatory-durango,37.629341,-107.814996,2514.126709,south,rockies
mammoth-mountain,37.6512681,-119.0380883,1976.289795,south,west
badger-pass,37.661718,-119.664132,1413.8302,south,west
brian-head,37.692907,-112.847212,1798.820923,south,rockies
june-mountain,37.767891,-119.090585,1925.334473,south,west
kendall-mountain-silverton,37.811174,-107.656118,2805.816406,south,rockies
silverton-mountain,37.884149,-107.665809,2850.882324,south,rockies
wintergreen-resort,37.920292,-78.938969,403.7949524,south,east
telluride,37.937173,-107.820766,2710.873291,south,rockies
the-omni-homestead,37.99667127,-79.82435599,786.4300537,south,east
lake-city-ski-hill,38.010959,-107.311915,3363.0625,south,rockies
lees-ski-hill-ouray,38.019359,-107.669219,2937.004395,south,rockies
dodge-ridge,38.18922,-119.956171,1691.334839,south,west
cimarron-mountain-club,38.296964,-107.617037,3014.178467,south,rockies
eagle-point,38.317114,-112.386361,1981.117798,south,rockies
massanutten,38.403059,-78.755633,387.8514404,south,east
snowshoe-mountain,38.414703,-79.984106,773.4474487,south,east
bear-valley,38.493096,-120.045478,1698.449829,south,west
monarch,38.511429,-106.332427,2871.58252,south,rockies
hidden-valley-mo,38.53639,-90.652407,218.8961639,south,midwest
paoli-peaks,38.555066,-86.512048,151.2902679,south,midwest
cranor-ski-hill-gunnison,38.586793,-106.895685,3327.205566,south,rockies
kirkwood,38.683211,-120.067869,1720.667358,south,west
fairfax-peak-planned,38.686479,-77.251346,134.3336639,south,east
sierra-at-tahoe,38.80058343,-120.0789889,1739.307739,south,west
bryce-resort,38.816756,-78.766501,411.5587158,south,east
ski-maxx-colorado-springs,38.895854,-104.83805,2608.949951,south,rockies
crested-butte,38.898836,-106.965439,3216.984619,south,rockies
heavenly,38.956864,-119.942636,1867.478394,south,west
canaan-valley,39.00730331,-79.4371896,529.6520386,south,east
timberline-mountain,39.042424,-79.400341,522.1775513,south,east
powderhorn,39.06923,-108.150219,2745.642578,south,rockies
homewood-mountain-resort,39.08452133,-120.1612097,1692.492188,south,west
inside-ski-training-center-leesburg,39.107882,-77.564435,263.6479492,south,east
perfect-north-slopes,39.146957,-84.885601,222.3733673,south,midwest
granlibakken,39.154632,-120.154231,1701.19812,south,west
aspen-highlands,39.180942,-106.855913,3097.550781,south,rockies
aspen-mountain,39.186354,-106.81823,3085.351563,south,rockies
palisades-tahoe,39.195861,-120.23533,1609.126831,south,west
buttermilk-mountain,39.205345,-106.860261,3094.887451,south,rockies
snowmass,39.212634,-106.920657,3111.561035,south,rockies
diamond-peak,39.25394,-119.922981,1841.755127,south,west
northstar-california-resort,39.274109,-120.119721,1738.823853,south,west
sugar-bowl,39.30489,-120.33256,1513.034912,south,west
donner-ski-ranch,39.3181055,-120.3307682,1516.663086,south,west
soda-springs,39.320857,-120.379686,1465.853027,south,west
