resort,lat,lon,altitude,north_south,east_west,1985-01,1985-02,1985-03,1985-12,2015-01,2015-02,2015-03,2015-12
mt-lemmon-ski-valley,32.447617,-110.781016,1018.055542,south,rockies,8.839417824808054,1.1496582029329738,0.012646533415126298,0.43292365121389514,0.005996114872086367,8.834162766146715e-05,0.0,0.015110480126078456
cloudcroft,32.95151681,-105.7088354,1408.086548,south,rockies,16.048293803208484,15.539486902620052,0.5354200969569276,3.4019403398236108,9.100982325169506,0.21750546273698176,0.013315614300354892,4.664224446797261
apache,33.39701396,-105.7882604,1542.59668,south,rockies,16.09441078097808,16.06848386712333,9.647226758302056,11.30547822709731,13.521763107638332,3.126997472176903,0.18824795242904743,13.382594170075869
sunrise-park,33.972949,-109.563519,2299.240967,south,rockies,16.097686056852922,16.090850717615044,15.622850704190096,15.887957958579591,12.476571058508965,3.4768900988829063,1.5582284529590158,15.401978542092037
snow-valley,34.22391822,-117.035342,957.984375,south,west,1.5676316103302297,0.08630580526546819,1.1684128332654762,7.715380271051621,0.0002065005974716769,0.0,0.0,0.020556586618826974
bear-mountain-big-bear-lake,34.22737,-116.861682,1001.180664,south,rockies,11.995836514673908,1.1952264308524607,5.140091533115241,14.05217274734279,0.00783896599255214,7.423446423814929e-05,6.881831600061136e-05,0.17152449934771985
snow-summit-big-bear-lake,34.235461,-116.888834,994.8352051,south,rockies,11.05913844571329,1.517670113532995,4.527927976796154,13.777071950829166,0.007983902344919101,7.150787935374926e-05,5.2957928465432644e-05,0.16870893222394878
mt-baldy,34.270105,-117.621892,628.8867798,south,west,12.731576681239472,1.526399315475268,8.202269040358901,14.741941377261819,0.010141675402348511,6.0547885672326394e-05,0.00019024344826985124,0.23455396130053668
buckhorn-ski-and-snowboard-club,34.34078332,-117.9188493,496.7745972,south,west,1.9937199475458574,0.05319868538979999,0.8687158608904438,6.905897382127746,0.0002462140418201188,0.0,0.0,0.02320764568328279
mt-waterman,34.349276,-117.928781,495.5697937,south,west,2.735706690005091,0.06973837543240476,1.2334535650500817,9.751390603197054,0.0003166336358992586,0.0,0.0,0.032124299180142646
mountain-high-east,34.371956,-117.676581,627.1488037,south,west,4.173166582050955,0.1102136744646376,0.6801402605578729,7.035714322347759,0.0008899219818346311,0.0,0.0,0.021162490161745994
mountain-high-west,34.376469,-117.691185,621.4129639,south,west,4.23022698131355,0.10963862078754938,0.9533134538548254,8.675875527091344,0.0008208997156985853,0.0,0.0,0.02909077317447637
mountain-high-north,34.387039,-117.68486,627.4362793,south,west,1.7460779901169112,0.04264019368578752,0.40578177334828536,4.286917074097714,0.0003268290503584901,0.0,0.0,0.012922609599587567
cloudmont,34.5349686,-85.60114301,307.4978638,south,midwest,15.87688520045353,0.07151342484500472,0.0,0.0,0.26939063347455466,11.357724597916237,0.0,0.00014590318766879794
sapphire-valley,35.123682,-83.058921,513.5418091,south,midwest,16.0835743198331,5.253869448311052,0.00025857253690679066,0.00010442406465357632,7.903947113918552,16.014768539250607,8.298556689017776e-05,0.0030908483255085092
sandia-peak,35.206833,-106.413993,1828.135254,south,rockies,16.053326889372105,15.948032910330387,4.345386904660834,14.32988956150572,14.445115211107101,5.127422570496022,0.0077373079068138945,14.529505481329215
elk-ridge-williams,35.215139,-112.191636,1820.824585,south,rockies,15.282753191264838,12.696683265994423,0.6314720966636106,13.891012904574085,0.12712574413445651,0.0004883099176885598,3.4055559065728294e-05,1.6372867465888359
arizona-snowbowl,35.330042,-111.710106,1813.600342,south,rockies,16.095393214712526,16.07486069381069,15.901993306934685,16.07832698403348,10.770030778722248,4.1286396957130735,1.066457264898689,15.552355504490347
cataloochee,35.562164,-83.089578,479.6710205,south,midwest,16.086937729024456,7.748916452564749,0.0012883172102480481,6.311128755744671e-05,9.551949568988658,16.079376152776273,0.00028677535878166786,0.005837681554276325
ober-gatlinburg,35.703397,-83.559314,449.7590942,south,midwest,16.061923760196684,0.6986272690300651,0.0,0.0,1.3574792260934,15.856244007791005,0.0,0.0006140991580022002
alta-sierra-shirley-meadows,35.71063313,-118.5582506,846.019043,south,west,0.10687449227073675,0.020048410494513183,0.5171989886142689,3.6666128405746363,0.0,0.0,0.0,0.009895057798783108
santa-fe,35.795667,-105.801717,1868.295532,south,rockies,16.099933536234985,16.099953880533317,16.034542791303924,16.085960004316494,15.9947121414861,15.870777196784093,5.414889135831265,16.09257791639719
pajarito-mountain,35.893632,-106.388338,1937.656006,south,rockies,16.094872818262786,16.09257731727605,12.102402821592648,15.735595457911263,13.72905046179306,7.656554191860254,0.08738265642228024,15.671373836253023
wolf-ridge,35.954261,-82.508698,755.4248657,south,midwest,16.09988001805372,14.905966562754582,0.0028201228065595986,0.00040370910795300703,15.625260938426653,16.099347850089053,0.0024285065365546752,0.06751896436992247
sugar-mountain,36.130154,-81.859834,966.241272,south,midwest,16.099982872662572,15.956819545174822,0.02705661434339885,0.001975991380826129,16.046765502186172,16.099908876195517,0.02569531656255185,0.45247209954009054
sipapu,36.153625,-105.548553,2061.078369,south,rockies,16.099674422994212,16.099665848512807,15.361360469961491,16.04755035787346,15.944388407229859,14.872534624116097,0.6565017530937911,16.07432349441745
appalachian-ski-mountain,36.17412688,-81.6629464,845.9049683,south,midwest,16.09991835928429,15.420804441943444,0.0034617963661491215,0.0004377221935845839,15.885528282911054,16.09956017522984,0.00565437601052043,0.2761009694623768
beech-mountain,36.193763,-81.877494,954.437439,south,midwest,16.099978360908235,15.762712747938247,0.02997854086333034,0.0019461386185993202,16.009201850633783,16.09987252484324,0.027967807119965615,0.4815125490459988
las-vegas-ski-and-snowboard-resort-lee-canyon,36.303389,-115.679362,876.2477417,south,rockies,16.098577347821564,16.08852501127014,16.09180892312891,16.097968663365094,10.96438441660036,1.319656359367952,0.492261831489103,15.850203447219439
angel-fire,36.3865128,-105.2718772,2298.625,south,rockies,16.099932982073934,16.099904138460808,15.82183279217763,16.086869092014503,16.070615200968636,15.943014920243975,1.443631071412568,16.09378465845127
