resort,url,maps_url,lat,lon
whistler-blackcomb,https://www.skiresort.info/ski-resort/whistler-blackcomb/,"https://www.google.com/maps?q=50.093718,-122.988741",50.093718,-122.988741
vail,https://www.skiresort.info/ski-resort/vail/,"https://www.google.com/maps?q=39.638437,-106.369074",39.638437,-106.369074
telluride,https://www.skiresort.info/ski-resort/telluride/,"https://www.google.com/maps?q=37.937173,-107.820766",37.937173,-107.820766
beaver-creek,https://www.skiresort.info/ski-resort/beaver-creek/,"https://www.google.com/maps?q=39.632961,-106.533131",39.632961,-106.533131
snowmass,https://www.skiresort.info/ski-resort/snowmass/,"https://www.google.com/maps?q=39.212634,-106.920657",39.212634,-106.920657
park-city,https://www.skiresort.info/ski-resort/park-city/,"https://www.google.com/maps?q=40.687874,-111.547327",40.687874,-111.547327
mammoth-mountain,https://www.skiresort.info/ski-resort/mammoth-mountain/,"https://www.google.com/maps?q=37.65126810468928,-119.03808832168579",37.65126810468928,-119.03808832168579
panorama,https://www.skiresort.info/ski-resort/panorama/,"https://www.google.com/maps?q=50.456351195266855,-116.23796871175483",50.456351195266855,-116.23796871175483
deer-valley,https://www.skiresort.info/ski-resort/deer-valley/,"https://www.google.com/maps?q=40.63796042111,-111.478661658615",40.63796042111,-111.478661658615
palisades-tahoe,https://www.skiresort.info/ski-resort/palisades-tahoe/,"https://www.google.com/maps?q=39.195861,-120.23533",39.195861,-120.23533
sun-peaks,https://www.skiresort.info/ski-resort/sun-peaks/,"https://www.google.com/maps?q=50.884626,-119.887303",50.884626,-119.887303
breckenridge,https://www.skiresort.info/ski-resort/breckenridge/,"https://www.google.com/maps?q=39.485392,-106.047732",39.485392,-106.047732
keystone,https://www.skiresort.info/ski-resort/keystone/,"https://www.google.com/maps?q=39.603888,-105.953873",39.603888,-105.953873
silver-star,https://www.skiresort.info/ski-resort/silver-star/,"https://www.google.com/maps?q=50.359905,-119.057151",50.359905,-119.057151
tremblant,https://www.skiresort.info/ski-resort/tremblant/,"https://www.google.com/maps?q=46.209921,-74.585952",46.209921,-74.585952
lake-louise,https://www.skiresort.info/ski-resort/lake-louise/,"https://www.google.com/maps?q=51.44223764219798,-116.16120974423362",51.44223764219798,-116.16120974423362
big-white,https://www.skiresort.info/ski-resort/big-white/,"https://www.google.com/maps?q=49.745161,-118.979655",49.745161,-118.979655
