resort,url,maps_url,lat,lon,altitude,beg,int,adv
mt-lemmon-ski-valley,https://www.skiresort.info/ski-resort/mt-lemmon-ski-valley/,"https://www.google.com/maps?q=32.447617,-110.781016",32.447617,-110.781016,1018.055542,29,47,24
cloudcroft,https://www.skiresort.info/ski-resort/cloudcroft/,"https://www.google.com/maps?q=32.951516805483564,-105.70883538737743",32.95151681,-105.7088354,1408.086548,34,30,36
apache,https://www.skiresort.info/ski-resort/apache/,"https://www.google.com/maps?q=33.3970139573004,-105.78826037247423",33.39701396,-105.7882604,1542.59668,22,33,45
sunrise-park,https://www.skiresort.info/ski-resort/sunrise-park/,"https://www.google.com/maps?q=33.972949,-109.563519",33.972949,-109.563519,2299.240967,,,
snow-valley,https://www.skiresort.info/ski-resort/snow-valley/,"https://www.google.com/maps?q=34.223918222143205,-117.03534196564591",34.22391822,-117.035342,957.984375,12,59,29
bear-mountain-big-bear-lake,https://www.skiresort.info/ski-resort/bear-mountain-big-bear-lake/,"https://www.google.com/maps?q=34.22737,-116.861682",34.22737,-116.861682,1001.180664,29,42,29
snow-summit-big-bear-lake,https://www.skiresort.info/ski-resort/snow-summit-big-bear-lake/,"https://www.google.com/maps?q=34.235461,-116.888834",34.235461,-116.888834,994.8352051,34,42,24
mt-baldy,https://www.skiresort.info/ski-resort/mt-baldy/,"https://www.google.com/maps?q=34.270105,-117.621892",34.270105,-117.621892,628.8867798,15,30,55
buckhorn-ski-and-snowboard-club,https://www.skiresort.info/ski-resort/buckhorn-ski-and-snowboard-club/,"https://www.google.com/maps?q=34.34078331714641,-117.91884925701096",34.34078332,-117.9188493,496.7745972,17,50,33
mt-waterman,https://www.skiresort.info/ski-resort/mt-waterman/,"https://www.google.com/maps?q=34.349276,-117.928781",34.349276,-117.928781,495.5697937,20,20,60
mountain-high-east,https://www.skiresort.info/ski-resort/mountain-high-east/,"https://www.google.com/maps?q=34.371956,-117.676581",34.371956,-117.676581,627.1488037,18,46,36
mountain-high-west,https://www.skiresort.info/ski-resort/mountain-high-west/,"https://www.google.com/maps?q=34.376469,-117.691185",34.376469,-117.691185,621.4129639,20,33,47
mountain-high-north,https://www.skiresort.info/ski-resort/mountain-high-north/,"https://www.google.com/maps?q=34.387039,-117.68486",34.387039,-117.68486,627.4362793,40,60,
cloudmont,https://www.skiresort.info/ski-resort/cloudmont/,"https://www.google.com/maps?q=34.53496860083028,-85.60114301116556",34.5349686,-85.60114301,307.4978638,100,,
sapphire-valley,https://www.skiresort.info/ski-resort/sapphire-valley/,"https://www.google.com/maps?q=35.123682,-83.058921",35.123682,-83.058921,513.5418091,100,,
sandia-peak,https://www.skiresort.info/ski-resort/sandia-peak/,"https://www.google.com/maps?q=35.206833,-106.413993",35.206833,-106.413993,1828.135254,25,64,11
elk-ridge-williams,https://www.skiresort.info/ski-resort/elk-ridge-williams/,"https://www.google.com/maps?q=35.215139,-112.191636",35.215139,-112.191636,1820.824585,20,50,30
