resort,url,maps_url,lat,lon,altitude,beg,int,adv,geometry
mt-lemmon-ski-valley,https://www.skiresort.info/ski-resort/mt-lemmon-ski-valley/,"https://www.google.com/maps?q=32.447617,-110.781016",32.447617,-110.781016,1018.055542,29.0,47.0,24.0,POINT (-110.78101502160514 32.44761599703835)
cloudcroft,https://www.skiresort.info/ski-resort/cloudcroft/,"https://www.google.com/maps?q=32.951516805483564,-105.70883538737743",32.95151681,-105.7088354,1408.086548,34.0,30.0,36.0,POINT (-105.70883656158726 32.951519119614815)
apache,https://www.skiresort.info/ski-resort/apache/,"https://www.google.com/maps?q=33.3970139573004,-105.78826037247423",33.39701396,-105.7882604,1542.59668,22.0,33.0,45.0,POINT (-105.78826106525295 33.39701597166989)
sunrise-park,https://www.skiresort.info/ski-resort/sunrise-park/,"https://www.google.com/maps?q=33.972949,-109.563519",33.972949,-109.563519,2299.240967,,,,POINT (-109.56352041397695 33.9729484443348)
snow-valley,https://www.skiresort.info/ski-resort/snow-valley/,"https://www.google.com/maps?q=34.223918222143205,-117.03534196564591",34.22391822,-117.035342,957.984375,12.0,59.0,29.0,POINT (-117.03534329535367 34.22391837302067)
bear-mountain-big-bear-lake,https://www.skiresort.info/ski-resort/bear-mountain-big-bear-lake/,"https://www.google.com/maps?q=34.22737,-116.861682",34.22737,-116.861682,1001.180664,29.0,42.0,29.0,POINT (-116.86168376297982 34.227370296487656)
snow-summit-big-bear-lake,https://www.skiresort.info/ski-resort/snow-summit-big-bear-lake/,"https://www.google.com/maps?q=34.235461,-116.888834",34.235461,-116.888834,994.8352051,34.0,42.0,24.0,POINT (-116.88883571070373 34.2354612843731)
mt-baldy,https://www.skiresort.info/ski-resort/mt-baldy/,"https://www.google.com/maps?q=34.270105,-117.621892",34.270105,-117.621892,628.8867798,15.0,30.0,55.0,POINT (-117.62189338592147 34.27010378455091)
buckhorn-ski-and-snowboard-club,https://www.skiresort.info/ski-resort/buckhorn-ski-and-snowboard-club/,"https://www.google.com/maps?q=34.34078331714641,-117.91884925701096",34.34078332,-117.9188493,496.7745972,17.0,50.0,33.0,POINT (-117.918849835225 34.340782380207656)
mt-waterman,https://www.skiresort.info/ski-resort/mt-waterman/,"https://www.google.com/maps?q=34.349276,-117.928781",34.349276,-117.928781,495.5697937,20.0,20.0,60.0,POINT (-117.9287814512387 34.34927514799028)
mountain-high-east,https://www.skiresort.info/ski-resort/mountain-high-east/,"https://www.google.com/maps?q=34.371956,-117.676581",34.371956,-117.676581,627.1488037,18.0,46.0,36.0,POINT (-117.67658207675723 34.37195508759111)
mountain-high-west,https://www.skiresort.info/ski-resort/mountain-high-west/,"https://www.google.com/maps?q=34.376469,-117.691185",34.376469,-117.691185,621.4129639,20.0,33.0,47.0,POINT (-117.69118607974731 34.37646804569971)
mountain-high-north,https://www.skiresort.info/ski-resort/mountain-high-north/,"https://www.google.com/maps?q=34.387039,-117.68486",34.387039,-117.68486,627.4362793,40.0,60.0,,POINT (-117.68486101054931 34.387038162612185)
cloudmont,https://www.skiresort.info/ski-resort/cloudmont/,"https://www.google.com/maps?q=34.53496860083028,-85.60114301116556",34.5349686,-85.60114301,307.4978638,100.0,,,POINT (-85.60114247117458 34.53496948173074)
sapphire-valley,https://www.skiresort.info/ski-resort/sapphire-valley/,"https://www.google.com/maps?q=35.123682,-83.058921",35.123682,-83.058921,513.5418091,100.0,,,POINT (-83.05892129095842 35.123681904846585)
sandia-peak,https://www.skiresort.info/ski-resort/sandia-peak/,"https://www.google.com/maps?q=35.206833,-106.413993",35.206833,-106.413993,1828.135254,25.0,64.0,11.0,POINT (-106.41399348938185 35.206834787591895)
elk-ridge-williams,https://www.skiresort.info/ski-resort/elk-ridge-williams/,"https://www.google.com/maps?q=35.215139,-112.191636",35.215139,-112.191636,1820.824585,20.0,50.0,30.0,POINT (-112.19163500496424 35.21513836199933)
arizona-snowbowl,https://www.skiresort.info/ski-resort/arizona-snowbowl/,"https://www.google.com/maps?q=35.330042,-111.710106",35.330042,-111.710106,1813.600342,32.0,38.0,30.0,POINT (-111.71010529908528 35.33004116817853)
cataloochee,https://www.skiresort.info/ski-resort/cataloochee/,"https://www.google.com/maps?q=35.562164,-83.089578",35.562164,-83.089578,479.6710205,25.0,50.0,25.0,POINT (-83.0895779492271 35.562164430056264)
ober-gatlinburg,https://www.skiresort.info/ski-resort/ober-gatlinburg/,"https://www.google.com/maps?q=35.703397,-83.559314",35.703397,-83.559314,449.7590942,11.0,68.0,21.0,POINT (-83.55931458143826 35.7033955444383)
alta-sierra-shirley-meadows,https://www.skiresort.info/ski-resort/alta-sierra-shirley-meadows/,"https://www.google.com/maps?q=35.71063313105104,-118.55825061449472",35.71063313,-118.5582506,846.019043,25.0,54.0,21.0,POINT (-118.55825012036402 35.710632666437576)
santa-fe,https://www.skiresort.info/ski-resort/santa-fe/,"https://www.google.com/maps?q=35.795667,-105.801717",35.795667,-105.801717,1868.295532,26.0,45.0,29.0,POINT (-105.80171808268038 35.795668085106065)
pajarito-mountain,https://www.skiresort.info/ski-resort/pajarito-mountain/,"https://www.google.com/maps?q=35.893632,-106.388338",35.893632,-106.388338,1937.656006,31.0,46.0,23.0,POINT (-106.38833860720119 35.8936332633353)
wolf-ridge,https://www.skiresort.info/ski-resort/wolf-ridge/,"https://www.google.com/maps?q=35.954261,-82.508698",35.954261,-82.508698,755.4248657,50.0,33.0,17.0,POINT (-82.50869829515874 35.954262044234945)
sugar-mountain,https://www.skiresort.info/ski-resort/sugar-mountain/,"https://www.google.com/maps?q=36.130154,-81.859834",36.130154,-81.859834,966.241272,29.0,50.0,21.0,POINT (-81.85983402709147 36.13015414806387)
sipapu,https://www.skiresort.info/ski-resort/sipapu/,"https://www.google.com/maps?q=36.153625,-105.548553",36.153625,-105.548553,2061.078369,17.0,39.0,44.0,POINT (-105.54855383003007 36.153626767330195)
appalachian-ski-mountain,https://www.skiresort.info/ski-resort/appalachian-ski-mountain/,"https://www.google.com/maps?q=36.1741268774273,-81.66294639831492",36.17412688,-81.6629464,845.9049683,40.0,50.0,10.0,POINT (-81.66294641934589 36.17412689395711)
beech-mountain,https://www.skiresort.info/ski-resort/beech-mountain/,"https://www.google.com/maps?q=36.193763,-81.877494",36.193763,-81.877494,954.437439,21.0,50.0,29.0,POINT (-81.87749402041894 36.193763163247574)
las-vegas-ski-and-snowboard-resort-lee-canyon,https://www.skiresort.info/ski-resort/las-vegas-ski-and-snowboard-resort-lee-canyon/,"https://www.google.com/maps?q=36.303389,-115.679362",36.303389,-115.679362,876.2477417,4.0,69.0,27.0,POINT (-115.67936202846099 36.30338576994356)
angel-fire,https://www.skiresort.info/ski-resort/angel-fire/,"https://www.google.com/maps?q=36.386512795005395,-105.27187724163403",36.3865128,-105.2718772,2298.625,54.0,37.0,9.0,POINT (-105.27187798446687 36.38651489466926)
taos,https://www.skiresort.info/ski-resort/taos/,"https://www.google.com/maps?q=36.594168,-105.449465",36.594168,-105.449465,2368.36377,24.0,25.0,51.0,POINT (-105.44946606105646 36.59416986651258)
red-river,https://www.skiresort.info/ski-resort/red-river/,"https://www.google.com/maps?q=36.708769,-105.409793",36.708769,-105.409793,2452.310547,35.0,30.0,35.0,POINT (-105.4097940222905 36.708770601039376)
china-peak,https://www.skiresort.info/ski-resort/china-peak/,"https://www.google.com/maps?q=37.235275,-119.154877",37.235275,-119.154877,1834.033569,40.0,34.0,26.0,POINT (-119.15487491461197 37.2352689094414)
chapman-hill-durango,https://www.skiresort.info/ski-resort/chapman-hill-durango/,"https://www.google.com/maps?q=37.28277400769554,-107.86887546930008",37.28277401,-107.8688755,2245.975098,42.0,30.0,28.0,POINT (-107.86887700621459 37.28277346660987)
