resort,url
whistler-blackcomb,https://www.skiresort.info/ski-resort/whistler-blackcomb/
vail,https://www.skiresort.info/ski-resort/vail/
telluride,https://www.skiresort.info/ski-resort/telluride/
beaver-creek,https://www.skiresort.info/ski-resort/beaver-creek/
snowmass,https://www.skiresort.info/ski-resort/snowmass/
park-city,https://www.skiresort.info/ski-resort/park-city/
mammoth-mountain,https://www.skiresort.info/ski-resort/mammoth-mountain/
panorama,https://www.skiresort.info/ski-resort/panorama/
deer-valley,https://www.skiresort.info/ski-resort/deer-valley/
palisades-tahoe,https://www.skiresort.info/ski-resort/palisades-tahoe/
sun-peaks,https://www.skiresort.info/ski-resort/sun-peaks/
breckenridge,https://www.skiresort.info/ski-resort/breckenridge/
keystone,https://www.skiresort.info/ski-resort/keystone/
silver-star,https://www.skiresort.info/ski-resort/silver-star/
tremblant,https://www.skiresort.info/ski-resort/tremblant/
lake-louise,https://www.skiresort.info/ski-resort/lake-louise/
big-white,https://www.skiresort.info/ski-resort/big-white/
killington,https://www.skiresort.info/ski-resort/killington/
mont-sainte-anne,https://www.skiresort.info/ski-resort/mont-sainte-anne/
sunday-river,https://www.skiresort.info/ski-resort/sunday-river/
winter-park-resort,https://www.skiresort.info/ski-resort/winter-park-resort/
heavenly,https://www.skiresort.info/ski-resort/heavenly/
red-mountain-resort-rossland,https://www.skiresort.info/ski-resort/red-mountain-resort-rossland/
snowbird,https://www.skiresort.info/ski-resort/snowbird/
fernie,https://www.skiresort.info/ski-resort/fernie/
bromont,https://www.skiresort.info/ski-resort/bromont/
snowbasin,https://www.skiresort.info/ski-resort/snowbasin/
stowe,https://www.skiresort.info/ski-resort/stowe/
sunshine-village,https://www.skiresort.info/ski-resort/sunshine-village/
steamboat,https://www.skiresort.info/ski-resort/steamboat/
alta,https://www.skiresort.info/ski-resort/alta/
big-sky-resort,https://www.skiresort.info/ski-resort/big-sky-resort/
solitude,https://www.skiresort.info/ski-resort/solitude/
kicking-horse-golden,https://www.skiresort.info/ski-resort/kicking-horse-golden/
brighton,https://www.skiresort.info/ski-resort/brighton/
aspen-highlands,https://www.skiresort.info/ski-resort/aspen-highlands/
marmot-basin-jasper,https://www.skiresort.info/ski-resort/marmot-basin-jasper/
kimberley,https://www.skiresort.info/ski-resort/kimberley/
stoneham,https://www.skiresort.info/ski-resort/stoneham/
copper-mountain,https://www.skiresort.info/ski-resort/copper-mountain/
jackson-hole,https://www.skiresort.info/ski-resort/jackson-hole/
revelstoke-mountain-resort,https://www.skiresort.info/ski-resort/revelstoke-mountain-resort/
crested-butte,https://www.skiresort.info/ski-resort/crested-butte/
nakiska,https://www.skiresort.info/ski-resort/nakiska/
buttermilk-mountain,https://www.skiresort.info/ski-resort/buttermilk-mountain/
mt-bachelor,https://www.skiresort.info/ski-resort/mt-bachelor/
bald-mountain-sun-valley,https://www.skiresort.info/ski-resort/bald-mountain-sun-valley/
